其他的真的能够理解，但说实话这个金发婊是真的恶心,6141.97700,2019-03-12 23:02:51,d64c3f68
金发婊至始至终都在演,6207.69700,2019-03-12 23:04:16,d64c3f68
感谢正宗字幕君,6229.62400,2019-03-12 23:04:37,6f9c41a8
洪世贤脏话,4082.02200,2019-03-12 23:11:08,eb88bda6
2019-3-12,6375.80300,2019-03-12 23:19:36,37dfe3ff
【做朋友】,5858.21300,2019-03-12 23:20:16,8b50bb9c
对不起，何,6474.55600,2019-03-12 23:25:08,4aa06eeb
2019-3-18,5803.11600,2019-03-12 23:25:41,53cfe220
本来不想开弹幕先看一遍，看到这里忍不住来感受下大家的愤怒,701.95000,2019-03-12 23:27:53,45114991
金发是个绿茶。都有错？为何你觉得你没错呢？,4271.80700,2019-03-12 23:38:22,509631bd
二周目，还想再看,10.16100,2019-03-12 23:39:58,c7d95565
这该死的肥美,1845.58700,2019-03-12 23:48:01,45114991
快。好机会。凑近一点,4857.22100,2019-03-12 23:50:33,509631bd
这个是我想守护的笑容,4894.33200,2019-03-12 23:51:10,509631bd
上去送啊。心情复杂。,4944.96400,2019-03-12 23:52:01,509631bd
瓦特。,5047.88900,2019-03-12 23:53:43,509631bd
闪现不带。哎。还撞墙,5065.26600,2019-03-12 23:54:02,509631bd
打得好,5199.32400,2019-03-12 23:56:24,509631bd
露出助听器,3371.72500,2019-03-12 23:56:36,a4fd3295
心疼哨子。,5269.51500,2019-03-12 23:57:34,509631bd
这个黑毛简直直了,5334.51600,2019-03-12 23:58:40,509631bd
这个金毛一副自我良好样子。真难看,5413.70800,2019-03-12 23:59:42,509631bd
女主妹妹是不是挨揍（欺负）了 ，，我感觉是，浑身都是土，，鞋还丢了,2425.16900,2019-03-12 23:59:53,aa7269f5
心疼女主。男主也是,5585.82000,2019-03-13 00:02:00,509631bd
好像观音菩萨提的小花篮哈哈哈,5309.28900,2019-03-13 00:03:04,98e6c105
好有爱。事实证明感情能让一个本来要死的人重新复活。bug,5714.79500,2019-03-13 00:04:09,509631bd
抱着她,5795.49800,2019-03-13 00:05:30,509631bd
两个女人半台戏,2974.99000,2019-03-13 00:09:11,aa7269f5
那个粉眼睛就是植野，，瞳色都看出来了,3098.43000,2019-03-13 00:11:56,aa7269f5
2019-3-14,5816.84200,2019-03-13 00:23:54,bf0df734
哭了,5263.62100,2019-03-13 00:34:55,c8508ace
感触好深,5263.62100,2019-03-13 00:35:08,c8508ace
有点不太适合我这个未成年人,2994.22400,2019-03-13 00:36:34,45114991
这一段有点假,5599.46000,2019-03-13 00:41:53,c8508ace
金发女是最恶心的,851.55300,2019-03-13 00:42:10,683910b7
2019-3-13,6354.55200,2019-03-13 00:42:57,5a68d448
说真的没关系就是非常有关系,4936.41900,2019-03-13 00:45:24,aa7269f5
D区,4169.73200,2019-03-13 00:46:46,ed38fa30
前方高能，剧情高潮,4935.82000,2019-03-13 01:13:38,c7d95565
2019-3-13,5797.31600,2019-03-13 01:44:42,7f4379f9
疯狂情头,2860.42800,2019-03-13 02:12:15,8c6b8375
以声之色 塑花之形 将你之名 刻于我心,6290.16100,2019-03-13 02:31:13,aa32aad2
以声之色 塑花之形 将你之名 刻于我心,6303.04000,2019-03-13 02:31:38,aa32aad2
声の色、花の形、あなたの名、私の心に刻む,6304.80200,2019-03-13 03:04:36,2b95977a
第四遍,74.32000,2019-03-13 03:37:30,cb25f733
亚久津,1437.59400,2019-03-13 04:00:13,cb25f733
这老师就是个人渣，现在要找人背锅了,874.73300,2019-03-13 04:42:36,b6ec55e7
这是个男的啊,2241.48100,2019-03-13 07:00:40,388fe25f
笑才对啊，找虐，不如自然。,2226.50700,2019-03-13 07:38:18,fd2571c5
2019/3/13,6352.91400,2019-03-13 08:44:25,ea7c0242
挑战失败,5148.00800,2019-03-13 09:46:15,ba74f1f6
未闻姐脸,2310.70900,2019-03-13 10:34:22,93485dd6
班上如果一种人，一被揍，二你自动转学，不然你直接要我们请还是把你送进医院,567.08100,2019-03-13 10:34:29,6e5fc8cc
想打人的+1,1137.13000,2019-03-13 10:45:31,6e5fc8cc
包场ヽ(≧Д≦)ノ，请给我来一打这样子的朋友,1837.23900,2019-03-13 10:58:27,6e5fc8cc
这种人渣老师是我最不喜欢的角色,401.40000,2019-03-13 11:00:31,8c6045a8
2019—3—10,6412.69100,2019-03-13 11:07:20,86e2dc64
很烦真正老师,879.04000,2019-03-13 11:09:20,8c6045a8
这个胖子给男主很大的转折点,1882.23300,2019-03-13 11:26:18,8c6045a8
wсnm,4150.18500,2019-03-13 11:40:46,6e5fc8cc
男主性格为啥有这么大转变呀？,1935.47600,2019-03-13 11:56:31,89f9c6ad
硝子好可爱,5946.60900,2019-03-13 11:58:47,41f5c004
脑瓜子嗡嗡的吧,2680.84800,2019-03-13 12:19:42,5df969f2
2019-3-13,6316.64400,2019-03-13 12:34:09,a646afe2
第四遍了,28.12600,2019-03-13 12:37:15,84dcd325
前面的我告诉你，我还真没做过这么过分的事。小不是你的借口,654.22200,2019-03-13 12:37:25,fb9d46ec
再来亿遍,19.54100,2019-03-13 12:51:52,57fcb65
2019-3-13,5806.58800,2019-03-13 12:57:03,b063e511
？？？nmsl？,4140.30100,2019-03-13 13:07:03,e637a11b
绿茶表nmsl？？？,4144.88200,2019-03-13 13:07:50,e637a11b
这是剪了吧，怎么突然就走了,4561.19300,2019-03-13 13:17:14,45114991
婆婆走好,4530.97100,2019-03-13 13:19:49,e637a11b
成年了，不用三年了?,4865.19400,2019-03-13 13:22:48,45114991
吓死宝宝了,5047.70800,2019-03-13 13:26:09,45114991
她觉得朋友们吵架是因为她，奶奶去世因为自己，男主的不幸等都是自己带来的。 才会自杀的吧,4890.55200,2019-03-13 13:35:57,85e22481
准备好了快丢我,2133.79200,2019-03-13 13:41:26,3f5eace1
葡萄？,1606.08100,2019-03-13 14:13:18,defb641b
看看,5036.18700,2019-03-13 14:33:21,f131d74
2019-3-13,5787.83400,2019-03-13 14:38:21,d1a896ce
以声值钱色,6280.84700,2019-03-13 14:48:47,a7234cb3
心疼男主,2699.47000,2019-03-13 15:02:42,e35ab0c5
把我弄哭对你有什么好处,19.22400,2019-03-13 15:07:19,2f400cae
时臣：世界也有错，凭什么只怪我,5447.28100,2019-03-13 15:18:13,af000b8
2019  3   14,5962.31600,2019-03-13 15:30:03,eca3a2ee
请你们原地结婚！,5855.82700,2019-03-13 15:50:27,aeda0cd4
爱情： 真像我,2870.53900,2019-03-13 16:02:34,f1a9f979
真是难为早见了,432.10200,2019-03-13 16:41:10,5012584d
燃烧流量-10086,71.57400,2019-03-13 16:43:13,4c73eba1
弟弟,516.71600,2019-03-13 17:43:35,c08c96b6
？？？,708.19000,2019-03-13 17:52:23,c08c96b6
白莲花,916.25200,2019-03-13 17:55:23,c08c96b6
西宫硝子,2149.90900,2019-03-13 18:03:51,80e8c1af
删减了,1145.39900,2019-03-13 18:04:41,c08c96b6
两倍速重温,254.75600,2019-03-13 18:14:28,fabf88f3
2019-3-3,5815.81100,2019-03-13 18:18:03,4c00cf1c
23333,1952.99000,2019-03-13 18:21:36,c08c96b6
真是虐,4590.47000,2019-03-13 18:47:07,74fc91bc
某之空,2878.16900,2019-03-13 18:49:47,baf7528a
2019-3-13,6387.95700,2019-03-13 18:52:31,b8129396
好看吗,36.36200,2019-03-13 19:05:28,7a9ac998
The Who,132.05900,2019-03-13 19:11:55,b75e2519
我小时候可没欺负过同学,685.98500,2019-03-13 19:26:49,d3dbcb85
2019年3月13,6286.01800,2019-03-13 19:27:35,ee92418b
我 莫得感情,5269.35300,2019-03-13 19:30:58,7dc987f6
3|13,5785.59200,2019-03-13 19:37:34,11c2e75b
第五遍了,19.34800,2019-03-13 19:38:31,cb8ca29f
为什么他和我这么像，这简直和我的经历差不多，目前为止,1862.72700,2019-03-13 19:43:42,6e92da21
辛苦了,6241.01600,2019-03-13 19:48:22,7dc987f6
第三遍好看的很           太真实,103.33000,2019-03-13 19:56:40,da321e8
植野还挺好看的啊,3102.33500,2019-03-13 19:58:43,5abf1b78
像极了爱情,2907.05800,2019-03-13 20:08:47,6e92da21
黑猫？,3008.66100,2019-03-13 20:08:59,ccef88ca
表示这个刚出来就看了。,1189.96700,2019-03-13 20:19:25,6eccab7f
那个黑发好讨厌,3853.83200,2019-03-13 20:23:05,ccef88ca
死神来了的过山车？？？？,3671.43300,2019-03-13 20:24:23,f05f5805
我**********,4080.22100,2019-03-13 20:26:51,ccef88ca
大家都消消气,706.22300,2019-03-13 20:36:06,9521571
砍男主队伍，迪迦请求加入,732.04300,2019-03-13 20:37:03,9521571
男主活该唉,1103.73200,2019-03-13 20:37:11,f4d2fd2b
前方高虐，兄弟们快摁住老虚的笔,4928.31100,2019-03-13 20:45:59,da321e8
关起来的那个老虚不见了啊,4939.37300,2019-03-13 20:46:28,da321e8
击毙的那个你没补刀啊,4959.07700,2019-03-13 20:47:05,da321e8
讨厌男主,1561.40800,2019-03-13 20:47:07,f4d2fd2b
摁不住老虚了,5018.87600,2019-03-13 20:48:20,da321e8
看我发现了什么,8.20300,2019-03-13 20:57:35,434ce89
果然是flag,4530.26000,2019-03-13 21:01:14,6e92da21
死亡flag：你们都是婆婆的好孙女,4534.30200,2019-03-13 21:01:35,6e92da21
